batter,hittype,speed_A,True_speed
1,fly_ball,87.73414887855844,87.56809124105214
1,ground_ball,91.6391418627218,90.31339937871324
1,line_drive,93.5045518835783,93.57464776005452
1,popup,82.7837122927883,81.2629838502752
2,fly_ball,79.90760797759876,80.28293746221122
2,ground_ball,86.64329981848034,86.55423329257648
2,line_drive,94.03788841202625,94.71864577106791
2,popup,75.04283989293864,70.81698147092996
3,fly_ball,79.7471349681243,79.30057925611564
3,ground_ball,100.074920510157,92.53491346438501
4,fly_ball,90.405482345313,89.85609297598523
4,ground_ball,91.8353064023722,89.87841690366263
4,line_drive,100.382613332091,100.3356174809792
4,popup,79.23571156867669,75.62219441106882
5,fly_ball,89.9628774588116,90.43798942608086
5,ground_ball,90.23567080808623,89.669820605156
5,line_drive,100.0877817574455,100.31493154417575
5,popup,81.0334902163766,80.43943494409633
6,fly_ball,86.387281245218,86.58157597348097
6,ground_ball,87.3257441569264,88.68317822783146
6,line_drive,89.8682227012953,90.16917060758503
6,popup,75.9712093275192,73.12587900871057
7,fly_ball,90.52734445714185,90.96680311071177
7,ground_ball,92.19335925209674,92.61227635807468
7,line_drive,95.4321698818295,96.08448938854961
7,popup,86.6636379932158,85.60111587238939
8,fly_ball,94.31079937533644,94.04368830232963
8,ground_ball,93.5491458266563,91.83184757886455
8,line_drive,100.636713652404,100.37947074371613
8,popup,79.84510210883136,81.34099102676619
9,ground_ball,93.6245915100286,91.00866001884502
10,fly_ball,88.45394668410114,89.31333469062561
10,ground_ball,92.3666106826633,91.82437081139788
10,line_drive,90.71183290300355,91.10184759640494
10,popup,74.2269100873084,74.6246168707507
11,fly_ball,92.6062275497066,92.05786175890164
11,ground_ball,88.1040397738945,89.91987557324532
11,line_drive,97.470770141407,97.68178140759618
11,popup,84.6705671599191,83.87473516528172
12,ground_ball,96.58431336479332,90.13936197197602
13,fly_ball,95.1751424931008,94.20171468886015
13,ground_ball,87.1140548630326,92.26866864710705
13,line_drive,102.556401745425,102.34896348871949
13,popup,75.9712093275192,74.53169880280761
14,fly_ball,88.4192307343994,88.34341230236994
14,ground_ball,90.61868668884975,90.35203632759293
14,line_drive,93.10586533127125,92.55426047750358
14,popup,72.5123547343956,73.71483520219279
15,fly_ball,92.4501765400029,91.88334767407676
15,ground_ball,96.363967404151,91.93440711403784
15,line_drive,98.0834533565919,97.66227543752284
15,popup,74.56504142016945,73.70801403122654
16,fly_ball,85.55398217709245,85.18839023642735
16,ground_ball,88.9054691894875,90.47106450042318
16,line_drive,82.7193127292541,86.5373496273064
16,popup,71.246440222549,75.97871278973211
17,fly_ball,87.2353937479362,87.04645302606254
17,ground_ball,86.7256442649342,90.23341583481088
17,line_drive,92.3067326899818,89.15962527890036
17,popup,83.515481197698,80.33618435180676
18,fly_ball,90.5081185318428,89.34144203158395
18,ground_ball,82.4860787536104,86.71353012541584
19,fly_ball,82.274566759733,83.10012774914715
19,ground_ball,93.11495311472159,90.19820709336507
19,line_drive,102.37564460550898,100.66818520559896
19,popup,66.06905709634465,67.47849303983176
20,fly_ball,92.34387586021302,92.02865159078107
20,ground_ball,90.8013573787598,91.80326702813504
20,line_drive,94.1726714031024,94.32908795494393
20,popup,67.76553058545366,70.09174234215448
21,fly_ball,93.7855751267097,94.00605310024419
21,ground_ball,95.3473185898711,95.7713910072797
21,line_drive,100.00158974881296,100.04413444016069
22,fly_ball,78.12587717041475,79.6587176564473
22,ground_ball,85.1765232096743,84.86340461218711
22,line_drive,82.9759327385604,83.93896355499376
22,popup,73.8610156789017,74.01950033223943
23,fly_ball,94.54672498424475,93.98058665162036
23,ground_ball,79.6876327935609,84.27577659749088
23,line_drive,99.5637913605338,99.36176634798802
23,popup,75.9712093275192,76.11965012603646
24,line_drive,87.3549027419384,86.88784542160096
25,fly_ball,78.271012597061,79.56235002479518
25,ground_ball,90.1393909669329,89.38444914306774
25,line_drive,84.98690470290279,84.68906542973214
25,popup,75.9712093275192,71.42826561784848
26,fly_ball,90.68235775508658,96.23090147650089
26,ground_ball,67.1091986573334,82.92091453661439
27,ground_ball,84.5264302319911,91.69309495167917
28,fly_ball,101.116475451271,100.32232158742424
28,ground_ball,92.7492091698776,91.31575645711821
28,line_drive,97.62939547440996,97.89550214890677
28,popup,84.61963268948215,84.77073120498031
29,fly_ball,91.3225270170148,91.23340123749901
29,ground_ball,89.99832884664374,91.8871305171128
29,line_drive,89.6163621594951,90.47379994580122
29,popup,85.1630360978319,82.94848372818339
30,ground_ball,89.8679997605329,89.93262897247125
30,line_drive,70.3140167513012,70.57148940201937
30,popup,69.7534296126803,70.84575223770584
31,fly_ball,88.612081480561,88.53463902068056
31,ground_ball,93.1177746554139,90.36684365266491
